# tau_us,P_x
2.175000000000000266e+00,7.887357013583286003e-01
2.180000000000000160e+00,9.783053059377803118e-01
2.185000000000000053e+00,9.763061213083252809e-01
2.189999999999999947e+00,8.784743382054265304e-01
2.194999999999999840e+00,8.172992563575058877e-01
2.200000000000000178e+00,8.513969516898671763e-01
2.205000000000000071e+00,9.392883207340138041e-01
2.209999999999999964e+00,9.884922362741987989e-01
2.214999999999999858e+00,9.447328565191313032e-01
2.220000000000000195e+00,8.436080774272839422e-01
2.225000000000000089e+00,7.532657113694816164e-01
2.229999999999999982e+00,7.029162996242929173e-01
2.234999999999999876e+00,6.991977429127623767e-01
2.240000000000000213e+00,7.446529994761460491e-01
2.245000000000000107e+00,8.157244829223297966e-01
2.250000000000000000e+00,8.821164919883381916e-01
2.254999999999999893e+00,9.378998704898030558e-01
2.260000000000000231e+00,9.792443063613323062e-01
2.265000000000000124e+00,9.918366904358791869e-01
2.270000000000000018e+00,9.772608311399033632e-01
2.274999999999999911e+00,9.583521192900358310e-01
2.280000000000000249e+00,9.566713422438970493e-01
2.285000000000000142e+00,9.746035971178137469e-01
2.290000000000000036e+00,9.936571819399374617e-01
2.294999999999999929e+00,9.938592753354718035e-01
2.300000000000000266e+00,9.761694082404774875e-01
2.305000000000000160e+00,9.593018055084387985e-01
2.310000000000000053e+00,9.579954177889813405e-01
2.314999999999999947e+00,9.690368817681391800e-01
2.319999999999999840e+00,9.774860146300905495e-01
2.325000000000000178e+00,9.748881718510650218e-01
2.330000000000000071e+00,9.682577325958222625e-01
2.334999999999999964e+00,9.704133302636088754e-01
2.339999999999999858e+00,9.839267261192585767e-01
2.345000000000000195e+00,9.968800116130854816e-01
2.350000000000000089e+00,9.965718689793097163e-01
2.354999999999999982e+00,9.850803626071421570e-01
2.359999999999999876e+00,9.766621796906376218e-01
2.365000000000000213e+00,9.812597896085206717e-01
2.370000000000000107e+00,9.935560435765496967e-01
2.375000000000000000e+00,9.990460561707472653e-01
2.379999999999999893e+00,9.911325109597119987e-01
2.385000000000000231e+00,9.790442124315595906e-01
2.390000000000000124e+00,9.767954831382970049e-01
2.395000000000000018e+00,9.872627670413731682e-01
2.399999999999999911e+00,9.985900373388393314e-01
2.405000000000000249e+00,9.965970263639010174e-01
2.410000000000000142e+00,9.809542761192151517e-01
2.415000000000000036e+00,9.660656680868581203e-01
2.419999999999999929e+00,9.660602432122975536e-01
2.425000000000000266e+00,9.815374135305234837e-01
2.430000000000000160e+00,9.972535788396355017e-01
2.435000000000000053e+00,9.904943050273462557e-01
2.439999999999999947e+00,9.448686620769832789e-01
2.444999999999999840e+00,8.550801981276719976e-01
2.450000000000000178e+00,7.258489710055956445e-01
2.455000000000000071e+00,5.837478206378430290e-01
2.459999999999999964e+00,4.813028244197134486e-01
2.464999999999999858e+00,4.641246662268988521e-01
2.470000000000000195e+00,5.387830193037421722e-01
2.475000000000000089e+00,6.777340720649674966e-01
2.479999999999999982e+00,8.324233240583884808e-01
2.484999999999999876e+00,9.466039356481249500e-01
2.490000000000000213e+00,9.901847733353157377e-01
2.495000000000000107e+00,9.804015098574889731e-01
2.500000000000000000e+00,9.574428266456300740e-01
2.504999999999999893e+00,9.495809665351773177e-01
2.510000000000000231e+00,9.608772241275430614e-01
2.515000000000000124e+00,9.777662511976503712e-01
2.520000000000000018e+00,9.865303049982117045e-01
2.524999999999999911e+00,9.858797606297948768e-01
2.530000000000000249e+00,9.821182264828435260e-01
2.535000000000000142e+00,9.798006212772923940e-01
2.540000000000000036e+00,9.798391693576236072e-01
2.544999999999999929e+00,9.815094875471050972e-01
2.550000000000000266e+00,9.846066422484753833e-01
2.555000000000000160e+00,9.888298321162493076e-01
2.560000000000000053e+00,9.913524386015182266e-01
2.564999999999999947e+00,9.891555981783460849e-01
2.569999999999999840e+00,9.838899104162670550e-01
2.575000000000000178e+00,9.811652333383406033e-01
2.580000000000000071e+00,9.847107262514804837e-01
2.584999999999999964e+00,9.915956597909890702e-01
2.589999999999999858e+00,9.942615813745833142e-01
2.595000000000000195e+00,9.891412906029406482e-01
2.600000000000000089e+00,9.816745851391130984e-01
2.604999999999999982e+00,9.806243242208105837e-01
2.609999999999999876e+00,9.882567669660236032e-01
2.615000000000000213e+00,9.971640275021691480e-01
2.620000000000000107e+00,9.978103671868652214e-01
